          70          19
  alpha   beta   sita    psi    phi      CL      CD     Cm     Cnor     Cax     Cy      Cn      Cl     f    V   t  sitaj   psij   phij
  21.99 -22.43  18.43 -25.39   8.53   .7757   .4095   .0087   .8730  -.0204   .3358  -.0582   .0605   .3 25.0 99.0  20.25 -24.00    .00
  21.78 -21.12  18.64 -23.91   8.07   .7778   .4044   .0091   .8730  -.0203   .3317  -.0570   .0597   .3 25.0 99.0  20.25 -22.59    .00
  21.59 -19.81  18.83 -22.44   7.59   .7809   .3981   .0096   .8734  -.0202   .3251  -.0555   .0585   .3 25.0 99.0  20.25 -21.18    .00
  21.41 -18.50  19.01 -20.96   7.11   .7845   .3908   .0101   .8740  -.0203   .3167  -.0537   .0569   .3 25.0 99.0  20.25 -19.76    .00
  21.24 -17.18  19.18 -19.47   6.63   .7885   .3824   .0107   .8746  -.0207   .3063  -.0516   .0550   .3 25.0 99.0  20.25 -18.35    .00
  21.09 -15.87  19.34 -17.99   6.14   .7928   .3732   .0112   .8752  -.0212   .2941  -.0491   .0526   .3 25.0 99.0  20.25 -16.94    .00
  20.95 -14.55  19.48 -16.50   5.64   .7976   .3633   .0118   .8758  -.0219   .2801  -.0461   .0500   .3 25.0 99.0  20.25 -15.53    .00
  20.83 -13.23  19.61 -15.01   5.14   .8021   .3527   .0123   .8761  -.0229   .2638  -.0429   .0469   .3 25.0 99.0  20.25 -14.12    .00
  20.72 -11.91  19.73 -13.51   4.64   .8070   .3420   .0129   .8767  -.0239   .2454  -.0394   .0436   .3 25.0 99.0  20.25 -12.71    .00
  20.62 -10.59  19.84 -12.02   4.13   .8119   .3313   .0134   .8772  -.0252   .2253  -.0357   .0399   .3 25.0 99.0  20.25 -11.29    .00
  20.53  -9.27  19.94 -10.52   3.62   .8164   .3209   .0139   .8775  -.0265   .2035  -.0317   .0360   .3 25.0 99.0  20.25  -9.88    .00
  20.45  -7.94  20.02  -9.02   3.11   .8205   .3110   .0143   .8777  -.0280   .1798  -.0275   .0318   .3 25.0 99.0  20.25  -8.47    .00
  20.39  -6.62  20.09  -7.52   2.60   .8243   .3019   .0148   .8778  -.0296   .1545  -.0230   .0274   .3 25.0 99.0  20.25  -7.06    .00
  20.34  -5.30  20.15  -6.02   2.08   .8275   .2938   .0151   .8777  -.0312   .1277  -.0184   .0228   .3 25.0 99.0  20.25  -5.65    .00
  20.30  -3.97  20.19  -4.51   1.56   .8296   .2871   .0153   .8771  -.0328   .1002  -.0136   .0180   .3 25.0 99.0  20.25  -4.24    .00
  20.27  -2.65  20.22  -3.01   1.04   .8310   .2821   .0155   .8766  -.0344   .0719  -.0086   .0131   .3 25.0 99.0  20.25  -2.82    .00
  20.26  -1.32  20.24  -1.50    .52   .8315   .2784   .0156   .8757  -.0360   .0429  -.0037   .0081   .3 25.0 99.0  20.25  -1.41    .00
  20.25    .00  20.25    .00    .00   .8309   .2765   .0156   .8744  -.0375   .0135   .0012   .0031   .3 25.0 99.0  20.25    .00    .00
  20.26   1.32  20.24   1.50   -.52   .8295   .2762   .0156   .8730  -.0390  -.0158   .0061  -.0020   .3 25.0 99.0  20.25   1.41    .00
  20.27   2.65  20.22   3.01  -1.04   .8275   .2778   .0156   .8716  -.0403  -.0445   .0108  -.0070   .3 25.0 99.0  20.25   2.82    .00
