Index	Psi_j	d_Psi_j	Cn
0	-24	0	-0.0566
1	-23.926	4.14097	-0.0571358
2	-23.7045	8.25642	-0.0576654
3	-23.3369	12.321	-0.055465
4	-22.8254	16.3095	-0.0515172
5	-22.1731	20.1976	-0.0501824
6	-21.3842	23.9611	-0.0545229
7	-20.4634	27.5768	-0.0501616
8	-19.4164	31.0226	-0.0503022
9	-18.2497	34.2771	-0.0462894
10	-16.9706	37.3202	-0.0445589
11	-15.5868	40.1333	-0.0414327
12	-14.1068	42.6989	-0.0383898
13	-12.54	45.0013	-0.0341867
14	-10.8958	47.0262	-0.0302446
15	-9.1844	48.7612	-0.0258134
16	-7.41641	50.1956	-0.0209338
17	-5.60269	51.3205	-0.0154412
18	-3.75443	52.129	-0.00967237
19	-1.88302	52.6161	-0.00351442
20	-1.47E-15	52.7788	0.00265
21	1.88302	52.6161	0.0088244
22	3.75443	52.129	0.0148404
23	5.60269	51.3205	0.0204682
24	7.41641	50.1956	0.0256387
25	9.1844	48.7612	0.0302931
26	10.8958	47.0262	0.0341861
27	12.54	45.0013	0.0374137
28	14.1068	42.6989	0.0403456
29	15.5868	40.1333	0.0423047
30	16.9706	37.3202	0.0438822
31	18.2497	34.2771	0.0447161
32	19.4164	31.0226	0.0448695
33	20.4634	27.5768	0.0453676
34	21.3842	23.9611	0.0448751
35	22.1731	20.1976	0.0463347
36	22.8254	16.3095	0.0456793
37	23.3369	12.321	0.0464851
38	23.7045	8.25642	0.0463096
39	23.926	4.14097	0.0460568
40	24	6.46E-15	0.0458
41	23.926	-4.14097	0.0457085
42	23.7045	-8.25642	0.0456148
43	23.3369	-12.321	0.0451217
44	22.8254	-16.3095	0.0435078
45	22.1731	-20.1976	0.0431052
46	21.3842	-23.9611	0.0406821
47	20.4634	-27.5768	0.0396391
48	19.4164	-31.0226	0.0379838
49	18.2497	-34.2771	0.0361441
50	16.9706	-37.3202	0.0337265
51	15.5868	-40.1333	0.0308573
52	14.1068	-42.6989	0.0275723
53	12.54	-45.0013	0.0235574
54	10.8958	-47.0262	0.0193724
55	9.1844	-48.7612	0.014676
56	7.41641	-50.1956	0.00958542
57	5.60269	-51.3205	0.00405726
58	3.75443	-52.129	-0.00160851
59	1.88302	-52.6161	-0.00736287
60	4.41E-15	-52.7788	-0.0131
61	-1.88302	-52.6161	-0.0186255
62	-3.75443	-52.129	-0.0239154
63	-5.60269	-51.3205	-0.0288841
64	-7.41641	-50.1956	-0.03353
65	-9.1844	-48.7612	-0.0376112
66	-10.8958	-47.0262	-0.0411258
67	-12.54	-45.0013	-0.0440733
68	-14.1068	-42.6989	-0.0473234
69	-15.5868	-40.1333	-0.0493579
70	-16.9706	-37.3202	-0.0515769
71	-18.2497	-34.2771	-0.0522309
72	-19.4164	-31.0226	-0.0552703
73	-20.4634	-27.5768	-0.0543777
74	-21.3842	-23.9611	-0.0580287
75	-22.1731	-20.1976	-0.0529049
76	-22.8254	-16.3095	-0.0536757
77	-23.3369	-12.321	-0.0570504
78	-23.7045	-8.25642	-0.0590317
79	-23.926	-4.14097	-0.0578207
